Filename,File_Size,File_Path,Category,Source_Directory,Purpose,Notes
index.html,52K,/FINAULT-ULTIMATE/index.html,Core Pages,DEPLOY/,Homepage and landing page,Largest index.html version
demo.html,28K,/FINAULT-ULTIMATE/demo.html,Core Pages,DEPLOY/,Interactive demo interface,Contains finault-gateway.finault.workers.dev email code
app.html,123K,/FINAULT-ULTIMATE/app.html,Core Pages,DEPLOY/,Main application interface,Largest app.html version
dashboard.html,20K,/FINAULT-ULTIMATE/dashboard.html,Core Pages,DEPLOY/,Analytics and dashboard interface,All versions same size
pricing.html,17K,/FINAULT-ULTIMATE/pricing.html,Core Pages,DEPLOY/,Pricing plans and tiers,All versions same size
docs.html,24K,/FINAULT-ULTIMATE/docs.html,Core Pages,DEPLOY-UNIFIED/,Complete documentation reference,Largest docs.html version
privacy.html,3.8K,/FINAULT-ULTIMATE/privacy.html,Legal,DEPLOY/,Privacy policy documentation,Standard legal document
terms.html,3.8K,/FINAULT-ULTIMATE/terms.html,Legal,DEPLOY/,Terms of service documentation,Standard legal document
gateway.html,19K,/FINAULT-ULTIMATE/gateway.html,Technical Docs,DEPLOY/,Finault Gateway documentation,Complete gateway API reference
api.html,18K,/FINAULT-ULTIMATE/api.html,Technical Docs,DEPLOY/,API reference and endpoints,Full API documentation
webhooks.html,15K,/FINAULT-ULTIMATE/webhooks.html,Technical Docs,DEPLOY/,Webhook integration guide,Webhook documentation and examples
security.html,13K,/FINAULT-ULTIMATE/security.html,Technical Docs,DEPLOY/,Security features and compliance,Security best practices and certifications
roadmap.html,9.0K,/FINAULT-ULTIMATE/roadmap.html,Resources,DEPLOY/,Product roadmap and future features,Future development plans
changelog.html,5.8K,/FINAULT-ULTIMATE/changelog.html,Resources,DEPLOY/,Version history and update notes,Release history and updates
compare.html,15K,/FINAULT-ULTIMATE/compare.html,Resources,DEPLOY/,Feature comparison and competitive analysis,Feature comparison matrix
feedback.html,8.3K,/FINAULT-ULTIMATE/feedback.html,Resources,DEPLOY/,User feedback and review collection,Feedback widget and collection
support.html,9.0K,/FINAULT-ULTIMATE/support.html,Resources,DEPLOY/,Support resources and contact information,Help and support resources
blog.html,7.2K,/FINAULT-ULTIMATE/blog.html,Resources,DEPLOY/,Blog listing and archive page,Blog index and archives
ai-cost-allocation-guide.html,8.5K,/FINAULT-ULTIMATE/blog/ai-cost-allocation-guide.html,Blog Posts,blog/,Guide on AI cost allocation strategies,Comprehensive FinOps guide
eu-ai-act-compliance.html,4.4K,/FINAULT-ULTIMATE/blog/eu-ai-act-compliance.html,Blog Posts,blog/,EU AI Act compliance requirements,Legal compliance for AI
finops-for-ai-certification.html,4.4K,/FINAULT-ULTIMATE/blog/finops-for-ai-certification.html,Blog Posts,blog/,FinOps certification and best practices,Professional certification guide
unit-economics-calculator.html,13K,/FINAULT-ULTIMATE/integrations/unit-economics-calculator.html,Integrations,integrations/,Financial modeling and unit economics tool,Interactive calculator
email-capture-component.html,9.7K,/FINAULT-ULTIMATE/integrations/email-capture-component.html,Integrations,integrations/,Email capture and lead generation,Email collection widget
status-page.html,13K,/FINAULT-ULTIMATE/integrations/status-page.html,Integrations,integrations/,System status and incident tracking,Status page and monitoring
continuous-engagement.html,14K,/FINAULT-ULTIMATE/integrations/continuous-engagement.html,Integrations,integrations/,User retention and engagement tools,Engagement and retention strategies
feedback-component.html,9.8K,/FINAULT-ULTIMATE/integrations/feedback-component.html,Integrations,integrations/,In-app feedback collection widget,Feedback widget component
clear-positioning.html,12K,/FINAULT-ULTIMATE/integrations/clear-positioning.html,Integrations,integrations/,Brand positioning and messaging framework,Brand and positioning resources
MANIFEST.txt,8.9K,/FINAULT-ULTIMATE/MANIFEST.txt,Documentation,Audit,Audit manifest and file list,Audit documentation
COMPLETE-AUDIT-REPORT.md,Variable,/FINAULT-ULTIMATE/COMPLETE-AUDIT-REPORT.md,Documentation,Audit,Comprehensive audit report,Full audit report with analysis
